mnemonic,dataset,category,description,frequency,last_updated
FPF-STRATEGY_MULTI_NETRETURN_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_BORROWING_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_BORROWING_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_CASHRATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_CASHRATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_COUNT,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_GAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_GAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_GNE_CHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_GNE_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_GNE_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_GROSSRETURN_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_GROSSRETURN_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_LEVERAGERATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_LEVERAGERATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_NAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_NAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_NETRETURN_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_OTHER_NETRETURN_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_RV_BORROWING_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_RV_BORROWING_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_RV_CASHRATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_RV_CASHRATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_RV_COUNT,fpf,,,,2026-04-09
FPF-STRATEGY_RV_GAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_RV_GAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_RV_GNE_CHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_RV_GNE_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_RV_GNE_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_RV_GROSSRETURN_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_RV_GROSSRETURN_NAVWMEAN,fpf,,,,2026-04-09
